example_id,pattern_type,sample_exercise,set_count,rest_between_sets_sec,weight_tier,phase_1_type,phase_1_duration_sec,phase_1_reps,phase_1_rep_kind,phase_1_position_cue,phase_2_type,phase_2_duration_sec,phase_2_reps,phase_2_rep_kind,phase_2_position_cue,notes,summary
42,burnout_only,Close Burnout Push-ups,2,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,2 sets to burnout
43,burnout_only,Close Burnout Push-ups,3,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,3 sets to burnout
44,burnout_only,Close Burnout Push-ups,4,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,4 sets to burnout
45,burnout_only,Close Burnout Push-ups,5,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,5 sets to burnout
46,burnout_only,Close Burnout Push-ups,3,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,3 sets to burnout
47,burnout_only,Close Burnout Push-ups,4,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,4 sets to burnout
48,burnout_only,Close Burnout Push-ups,2,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,2 sets to burnout
49,burnout_only,Close Burnout Push-ups,5,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,5 sets to burnout
50,burnout_only,Close Burnout Push-ups,4,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,4 sets to burnout
51,hold_only,Plank,1,45,light,hold,30,,,locked position,,,,,,Isometric — log hold time if needed,1 sets × 30s hold
52,hold_only,Plank,2,45,light,hold,45,,,locked position,,,,,,Isometric — log hold time if needed,2 sets × 45s hold
53,hold_only,Plank,3,45,light,hold,60,,,locked position,,,,,,Isometric — log hold time if needed,3 sets × 60s hold
54,hold_only,Plank,4,45,light,hold,20,,,locked position,,,,,,Isometric — log hold time if needed,4 sets × 20s hold
55,hold_only,Plank,5,45,light,hold,40,,,locked position,,,,,,Isometric — log hold time if needed,5 sets × 40s hold
56,hold_only,Plank,1,45,light,hold,30,,,locked position,,,,,,Isometric — log hold time if needed,1 sets × 30s hold
57,hold_only,Plank,2,45,light,hold,50,,,locked position,,,,,,Isometric — log hold time if needed,2 sets × 50s hold
58,hold_only,Plank,3,45,light,hold,25,,,locked position,,,,,,Isometric — log hold time if needed,3 sets × 25s hold
59,hold_only,Plank,4,45,light,hold,35,,,locked position,,,,,,Isometric — log hold time if needed,4 sets × 35s hold
60,hold_only,Plank,5,45,light,hold,60,,,locked position,,,,,,Isometric — log hold time if needed,5 sets × 60s hold
61,hold_then_timed,Wall Sit,4,60,medium,hold,10,,,setup position,timed,20,,,,Hold then timed work in same set,4 sets: 10s hold → 20s work
62,hold_then_timed,Wall Sit,3,60,medium,hold,15,,,setup position,timed,30,,,,Hold then timed work in same set,3 sets: 15s hold → 30s work
63,hold_then_timed,Wall Sit,5,60,medium,hold,20,,,setup position,timed,15,,,,Hold then timed work in same set,5 sets: 20s hold → 15s work
64,hold_then_timed,Wall Sit,4,60,medium,hold,30,,,setup position,timed,20,,,,Hold then timed work in same set,4 sets: 30s hold → 20s work
65,hold_then_timed,Wall Sit,2,60,medium,hold,45,,,setup position,timed,30,,,,Hold then timed work in same set,2 sets: 45s hold → 30s work
66,hold_then_timed,Wall Sit,6,60,medium,hold,10,,,setup position,timed,20,,,,Hold then timed work in same set,6 sets: 10s hold → 20s work
67,hold_then_timed,Wall Sit,3,60,medium,hold,20,,,setup position,timed,25,,,,Hold then timed work in same set,3 sets: 20s hold → 25s work
68,hold_then_timed,Wall Sit,4,60,medium,hold,15,,,setup position,timed,20,,,,Hold then timed work in same set,4 sets: 15s hold → 20s work
69,hold_then_timed,Wall Sit,5,60,medium,hold,25,,,setup position,timed,15,,,,Hold then timed work in same set,5 sets: 25s hold → 15s work
70,hold_then_timed,Wall Sit,3,60,medium,hold,30,,,setup position,timed,20,,,,Hold then timed work in same set,3 sets: 30s hold → 20s work
71,max_reps,Goblet Squat,3,90,medium,reps,,30,max,,,,,,,As many reps as possible up to 30,3 sets × max 30 reps
72,max_reps,Goblet Squat,4,90,medium,reps,,25,max,,,,,,,As many reps as possible up to 25,4 sets × max 25 reps
73,max_reps,Goblet Squat,2,90,medium,reps,,10,max,,,,,,,As many reps as possible up to 10,2 sets × max 10 reps
74,max_reps,Goblet Squat,5,90,medium,reps,,12,max,,,,,,,As many reps as possible up to 12,5 sets × max 12 reps
75,max_reps,Goblet Squat,3,90,medium,reps,,8,max,,,,,,,As many reps as possible up to 8,3 sets × max 8 reps
76,max_reps,Goblet Squat,4,90,medium,reps,,30,max,,,,,,,As many reps as possible up to 30,4 sets × max 30 reps
77,max_reps,Goblet Squat,6,90,medium,reps,,10,max,,,,,,,As many reps as possible up to 10,6 sets × max 10 reps
78,max_reps,Goblet Squat,3,90,medium,reps,,15,max,,,,,,,As many reps as possible up to 15,3 sets × max 15 reps
79,max_reps,Goblet Squat,4,90,medium,reps,,28,max,,,,,,,As many reps as possible up to 28,4 sets × max 28 reps
80,max_reps,Goblet Squat,2,90,medium,reps,,30,max,,,,,,,As many reps as possible up to 30,2 sets × max 30 reps
